"step_id","recipe_id","step_number","instruction"
1,1,1,"Marinate chicken with spices and let sit for 30 minutes."
2,1,2,"Cook marinated chicken in butter until golden brown."
3,1,3,"Add cream and simmer until thickened."
4,2,1,"Cook ground beef with taco seasoning."
5,2,2,"Fill taco shells with meat and toppings."
6,3,1,"Cook spaghetti until al dente."
7,3,2,"Mix cooked pasta with egg and cheese over low heat."
8,4,1,"Sauté onions and tomatoes with spices."
9,4,2,"Add chickpeas and cook until soft."
10,5,1,"Preheat oven to 180°C."
11,5,2,"Mix garlic with melted butter and spread on bread slices."
12,5,3,"Bake until golden brown, about 10 minutes."
13,6,1,"Boil and mash potatoes, then mix with peas and spices."
14,6,2,"Fill pastry sheets with potato mixture and fold into triangles."
15,6,3,"Fry in hot oil until golden brown."
16,7,1,"Chop romaine lettuce and place in a bowl."
17,7,2,"Top with Caesar dressing, cheese, and croutons."
18,8,1,"Mix chickpeas, tomatoes, cucumbers, and herbs in a bowl."
19,8,2,"Drizzle with olive oil and lemon juice."
20,9,1,"Saute onions, carrots, and celery."
21,9,2,"Add beans, pasta, and vegetable stock and simmer."
22,9,3,"Season with salt and pepper and serve hot."
23,10,1,"Boil lentils with water and spices."
24,10,2,"Simmer until lentils are soft, then mash slightly."
25,11,1,"Chop tomatoes and basil."
26,11,2,"Toast bread slices."
27,11,3,"Rub toasted bread with garlic, top with tomatoes, basil, and drizzle olive oil."
28,12,1,"Slice mozzarella and tomatoes."
29,12,2,"Layer with basil leaves. Drizzle balsamic vinegar."
30,13,1,"Mash avocados in a bowl."
31,13,2,"Mix in chopped onions, tomatoes, and lime juice."
32,14,1,"Cook ground beef until browned."
33,14,2,"Assemble tacos with tortillas, beef, cheese, and salsa."
34,15,1,"Mix flour, yogurt, butter, and salt into a dough."
35,15,2,"Roll into flatbreads and cook on hot pan."
36,16,1,"Mix cabbage, carrots, and vinegar."
37,16,2,"Stir in mayonnaise and season to taste."
38,17,1,"Heat oil in a pan and add cumin seeds."
39,17,2,"Add chopped ginger and potatoes, sauté until slightly browned."
40,17,3,"Add cauliflower, turmeric, and salt; cover and cook until tender."
41,17,4,"Garnish with cilantro before serving."
