"recipe_id","recipe_name","cuisine","category","prep_time","cook_time","serving_size","difficulty_level","description","nutrition_info","is_vegan","is_gluten_free","is_keto","is_dairy_free"
1,"Chana Masala","Indian","Main Course",15,35,4,"Easy","A vegan chickpea curry with rich, spicy flavors.","{""fat"": ""10g"", ""protein"": ""15g"", ""calories"": 400, ""carbohydrates"": ""55g""}",True,True,True,True
2,"Butter Chicken","Indian","Main Course",20,45,4,"Medium","A rich and creamy chicken dish with a blend of spices.","{""fat"": ""35g"", ""protein"": ""30g"", ""calories"": 650, ""carbohydrates"": ""50g""}",False,False,False,False
3,"Tacos","Mexican","Appetizer",10,30,2,"Easy","Crispy corn tortillas filled with seasoned meat and fresh toppings.","{""fat"": ""25g"", ""protein"": ""25g"", ""calories"": 500, ""carbohydrates"": ""40g""}",False,True,False,True
4,"Spaghetti Carbonara","Italian","Main Course",10,25,2,"Medium","A creamy pasta with eggs, cheese, and pancetta.","{""fat"": ""30g"", ""protein"": ""25g"", ""calories"": 700, ""carbohydrates"": ""75g""}",False,False,False,False
5,"Garlic Bread","Italian","Side Dishes",10,15,4,"Easy","Buttery garlic bread perfect as a side for pasta dishes.","{""fat"": ""15g"", ""protein"": ""5g"", ""calories"": 250, ""carbohydrates"": ""25g""}",False,True,False,True
6,"Samosa","Indian","Side Dishes",30,20,4,"Medium","A crispy, fried pastry filled with spiced potatoes and peas.","{""fat"": ""12g"", ""protein"": ""6g"", ""calories"": 300, ""carbohydrates"": ""40g""}",True,False,False,False
7,"Caesar Salad","Italian","Salads",10,0,2,"Easy","A fresh salad with romaine, croutons, and Caesar dressing.","{""fat"": ""15g"", ""protein"": ""6g"", ""calories"": 200, ""carbohydrates"": ""10g""}",False,False,False,False
8,"Chickpea Salad","Mediterranean","Salads",10,0,2,"Easy","A protein-rich salad with chickpeas, tomatoes, and cucumbers.","{""fat"": ""7g"", ""protein"": ""8g"", ""calories"": 180, ""carbohydrates"": ""25g""}",True,True,True,True
9,"Minestrone","Italian","Soups",15,45,4,"Medium","A hearty vegetable soup with pasta and beans.","{""fat"": ""5g"", ""protein"": ""10g"", ""calories"": 220, ""carbohydrates"": ""35g""}",True,True,False,True
10,"Dal Soup","Indian","Soups",10,30,4,"Easy","A spiced lentil soup that is both nutritious and comforting.","{""fat"": ""3g"", ""protein"": ""10g"", ""calories"": 150, ""carbohydrates"": ""20g""}",True,True,True,True
11,"Bruschetta","Italian","Side Dish",10,5,4,"Easy","A classic Italian starter with garlic, tomatoes, and basil.","{""fat"": 4, ""carbs"": 10, ""protein"": 2, ""calories"": 80}",True,True,False,True
12,"Caprese Salad","Italian","Salad",10,0,4,"Easy","Fresh mozzarella, basil, and tomatoes with balsamic drizzle.","{""fat"": 10, ""carbs"": 8, ""protein"": 6, ""calories"": 150}",True,True,False,False
13,"Guacamole","Mexican","Side Dish",10,0,2,"Easy","A creamy avocado-based dip with onions, tomatoes, and lime.","{""fat"": 15, ""carbs"": 10, ""protein"": 2, ""calories"": 200}",True,True,True,True
14,"Tacos","Mexican","Main Course",15,10,4,"Medium","Corn tortillas with beef, cheese, and salsa.","{""fat"": 18, ""carbs"": 25, ""protein"": 10, ""calories"": 300}",False,True,False,False
15,"Butter Naan","Indian","Side Dish",15,10,4,"Medium","A soft flatbread brushed with butter, perfect for curries.","{""fat"": 8, ""carbs"": 40, ""protein"": 6, ""calories"": 250}",False,False,False,False
16,"Coleslaw","American","Salad",10,0,4,"Easy","A creamy cabbage salad with mayonnaise and vinegar dressing.","{""fat"": 10, ""carbs"": 12, ""protein"": 2, ""calories"": 150}",True,True,False,False
17,"Aloo Gobi","Indian","Main Course",15,20,4,"Medium","A spiced potato and cauliflower curry with fragrant spices.","{""fat"": 8, ""carbs"": 30, ""protein"": 5, ""calories"": 200}",True,True,False,True
