"ingredient_id","ingredient_name","caloric_value"
1,"Chicken",200
2,"Butter",100
3,"Taco Shell",60
4,"Ground Beef",250
5,"Spaghetti",150
6,"Egg",70
7,"Cheese",120
8,"Chickpeas",160
9,"Tomato",20
10,"Onion",10
90,"Cauliflower",25
91,"Turmeric",10
92,"Ginger",5
93,"Cumin Seeds",8
29,"Bread",80
30,"Garlic",5
31,"Potato",70
32,"Peas",60
33,"Romaine Lettuce",5
34,"Croutons",20
35,"Cucumber",15
36,"Pasta",150
37,"Beans",60
38,"Lentils",100
39,"Spices",5
75,"Basil",4
76,"Olive Oil",120
77,"Mozzarella",85
78,"Balsamic Vinegar",15
79,"Avocado",160
80,"Lime Juice",4
81,"Corn Tortilla",50
82,"Salsa",20
83,"Flour",90
84,"Yogurt",50
85,"Salt",0
86,"Cabbage",10
87,"Carrot",20
88,"Mayonnaise",150
89,"Vinegar",0
